Epoch,Loss
1,1.4193059271546427
2,0.5190356740279606
3,0.3663856465265983
4,0.3154424087454875
5,0.27170033546820005
6,0.24417198125135015
7,0.23783315690579238
8,0.2265257391285289
9,0.21712313497577002
10,0.2021801573810754
11,0.19296844079400655
12,0.1964488841627759
13,0.1844609676066924
14,0.178605190495512
15,0.1847726551781374
16,0.17379866450749062
17,0.17815181925133974
18,0.1695244832792216
19,0.17756469099333994
20,0.16840454178896766
21,0.16615343773392616
22,0.15980115649290383
23,0.16208642403836604
24,0.1591373637870506
25,0.15777254044250758
26,0.15954129501349396
27,0.15703876868442254
28,0.1593824945717912
29,0.1600393657055166
30,0.1496732325327617
31,0.15138260717503726
32,0.14638089138531574
33,0.1499282783328521
34,0.14805248365909965
35,0.14648473939720402
36,0.1495645774476644
37,0.14656005083169374
38,0.14147425083340043
39,0.13831249427878195
40,0.14978153183970047
41,0.1373108155352788
42,0.13376004175127795
43,0.14091507637338643
44,0.14049807254168964
45,0.1337417236688823
46,0.13395448005758226
47,0.13279777682058652
48,0.13211590125380704
49,0.1328173250787788
50,0.13137925378288384
